title,author,isbn,category,source,source_url,description
"Petualangan di Desa","Tim Budi","","Literasi Budi Kemendikdasmen","budi_kemendikdasmen","https://budi.kemendikdasmen.go.id/storage/content/buku_model_2.pdf","Buku Model Literasi untuk Jenjang SMP."
"Menjaga Laut Kita","Tim Budi","","Literasi Budi Kemendikdasmen","budi_kemendikdasmen","https://budi.kemendikdasmen.go.id/storage/content/buku_model_3.pdf","Buku Model Literasi untuk Jenjang SMP."
"The Return of Sherlock Holmes","Arthur Conan Doyle","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL262477W","First published: 1903"
"Pippi Långstrump","Astrid Lindgren","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL14872925W","First published: 1945"
"The Time Machine","H. G. Wells","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL52267W","First published: 1895"
"The Adventures of Tom Sawyer","Mark Twain","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL53919W","First published: 1817"
"The Giver","Lois Lowry","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL1846076W","First published: 1993"
"Matilda","Roald Dahl","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL45846W","First published: 1988"
"Anne of Green Gables","Lucy Maud Montgomery","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL77746W","First published: 1908"
"The Lightning Thief","Rick Riordan","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL492658W","First published: 2005"
"The War of the Worlds","H. G. Wells","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL52114W","First published: Unknown"
"The Book Thief","Markus Zusak","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL5819456W","First published: 1998"
"The Alhambra","Washington Irving","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL63996W","First published: 1800"
"The Complete Sherlock Holmes [4 novels, 56 stories]","Arthur Conan Doyle","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL262554W","First published: 1900"
"A Little Princess","Frances Hodgson Burnett","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL69630W","First published: 1905"
"Harry Potter and the Chamber of Secrets","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82537W","First published: 1998"
"Harry Potter and the Deathly Hallows","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82586W","First published: 2007"
"Sense and Sensibility","Jane Austen","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL66562W","First published: 1811"
"Emma","Jane Austen","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL66513W","First published: 1815"
"Twilight","Stephenie Meyer","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL5720023W","First published: 2005"
"A Wizard of Earthsea","Ursula K. Le Guin","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL59798W","First published: 1968"
"The Picture of Dorian Gray","Oscar Wilde","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL8193416W","First published: 1890"
"The Scarlet Letter","Nathaniel Hawthorne","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL455305W","First published: 1800"
"Les Misérables","Victor Hugo","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL1063588W","First published: 1862"
"James and the Giant Peach","Roald Dahl","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL45809W","First published: 1961"
"Wuthering Heights","Emily Brontë","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL21177W","First published: 1846"
"The Adventures of Sherlock Holmes [12 stories]","Arthur Conan Doyle","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL262421W","First published: 1892"
"A Tale of Two Cities","Charles Dickens","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL8193465W","First published: 1800"
"Bridge to Terabithia","Katherine Paterson","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL27079W","First published: 1972"
"Frankenstein or The Modern Prometheus","Mary Shelley","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL450063W","First published: 1818"
"Daddy-Long-Legs","Jean Webster","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL4322177W","First published: 1912"
"Macbeth","William Shakespeare","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL258902W","First published: 1508"
"Harry Potter and the Philosopher's Stone","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82563W","First published: 1997"
"The Boy in the Striped Pyjamas","John Boyne","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL5840870W","First published: 2006"
"Harry Potter and the Order of the Phoenix","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82548W","First published: 2003"
"Treasure Island","Robert Louis Stevenson","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL24034W","First published: 1880"
"Charlotte's Web","E. B. White","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL483391W","First published: 1952"
"Julius Caesar","William Shakespeare","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL362702W","First published: 1656"
"Pride and Prejudice","Jane Austen","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL66554W","First published: 1813"
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82536W","First published: 1999"
"Harry Potter and the Goblet of Fire","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82560W","First published: 2000"
"Little House on the Prairie","Laura Ingalls Wilder","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL1719792W","First published: 1935"
"A Wrinkle in Time","Madeleine L'Engle","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL41495W","First published: 1962"
"Harry Potter and the Half-Blood Prince","J. K. Rowling","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL82565W","First published: 2005"
"The Red Badge of Courage","Stephen Crane","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL20844W","First published: 1855"
"Little men","Louisa May Alcott","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL17761452W","First published: 1885"
"The Tempest","William Shakespeare","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL362699W","First published: 1611"
"The Ugly Duckling","Hans Christian Andersen","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL15155002W","First published: 1851"
"Alice's Adventures in Wonderland","Lewis Carroll","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL138052W","First published: 1865"
"The Call of the Wild","Jack London","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL14942956W","First published: 1903"
"Adventures of Huckleberry Finn","Mark Twain","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL53908W","First published: 1876"
"The Night Before Christmas","Clement Clarke Moore","","Juvenile Fiction","openlibrary","https://openlibrary.org/works/OL655908W","First published: 1857"
